Dia,Mes,Horario,Evento,Responsavel,Espaco,Status
06,04,17h30-20h30,Aula de Ligas Acadêmicas,,Auditório Licenciatura,
08,04,,Colação de Grau,,Auditório Licenciatura,
08,04,08h-17h,I Encontro da Estratégia à Informação: SUS Digital,,Auditório Licenciatura,
09,04,,Projeto Bombeiro Mirim 2026,,Auditório Licenciatura,
10,04,08h-12h,Curso de Capacitação na Atividade de Inteligência Policial (CCAIP),,Auditório Licenciatura,
16,04,,Colação de Grau UEMA,,Auditório Licenciatura,
22-24,04,08h-18h,Secretaria de Estado da Saúde/SES-MA - Projeto Emanuela,SES-MA,Auditório Licenciatura,
27-28,04,Dia todo,Reservado Enfermagem,Prof. Luís Fernando,Auditório Licenciatura,BLOQUEADO
04-05,05,08h-17h,Oficinas: Vigilância do Óbito e Segurança do Paciente - Projeto Emanuella,,Auditório Licenciatura,
06-07,05,Dia todo,Reservado Enfermagem,Prof. Luís Fernando,Auditório Licenciatura,BLOQUEADO
14-15,05,08h-18h,Secretaria de Estado da Saúde/SES-MA - Projeto Emanuela,SES-MA,Auditório Licenciatura,
19,05,08h-17h,II Conferência Faça bonito - Curso Enfermagem,,Auditório Licenciatura,
30/05-03/06,05-06,07h-19h,Congresso de Medicina Interligas da Baixada Maranhense,,Auditório Licenciatura,
26,06,,Reunião enfermeiros rede,,Auditório Licenciatura,
27-29,08,,1º Fórum de Oncologia,,Auditório Licenciatura,
01-30,04,Manhã e Tarde,SEMED,SEMED,Sala 05 - Licenciaturas,BLOQUEADO
01,04,,Internato-MED,,Sala 03 - Licenciaturas,
09-10,04,07h-17h,1º Ciclo formativo municipal,,Salas 06 e 07 - Licenciaturas,
13-17,04,Manhã e Tarde,Curso de Capacitação na Atividade de Inteligência Policial – CCAIP,,Sala 07 - Licenciaturas,
13,04,,Especialização Fiocruz,Fiocruz,Sala 06 - Licenciaturas,
24,04,,PROJETO CUIDA APS,,Salas 03/1A/05/06/07/08 - Licenciaturas,BLOQUEADO
24,04,,PROJETO CUIDA APS,,Salas 03/1A/02/06/07/08 - Licenciaturas,BLOQUEADO
19-21,05,,PROJETO CUIDA APS,,Salas Variadas - Licenciaturas,BLOQUEADO
06,04,08h-12h,Liga Acadêmica de Enfermagem em Enfermaria Operatória,,Auditório Saúde,
07/04-31/12,04-12,,NÃO RESERVAR,,Auditório Saúde,BLOQUEADO
09,04,17h-19h,Aula de Liga LANEFRO - Endel - Medicina (6º período),,Sala 05 - Saúde,
03,04,,Paixão de Cristo (Sexta-feira Santa),,Auditório Eng. Pesca/Ed. Física,
07-08,04,08h-18h,Processo Seletivo Simplificado - Professor Substituto (Eng. Pesca),,Auditório Eng. Pesca/Ed. Física,BLOQUEADO
15,04,18h-22h,Atividade alusiva ao Dia Mundial do Lazer,,Auditório Eng. Pesca/Ed. Física,
16,04,12h-14h,Liga Acadêmica de Enfermagem em Saúde Mental,,Auditório Eng. Pesca/Ed. Física,
19,04,,Tiradentes,,Auditório Eng. Pesca/Ed. Física,
27,04,14h-18h,Coração de mãe - Curso de Enfermagem,,Auditório Eng. Pesca/Ed. Física,
04,06,,Corpus Christi,,Auditório Eng. Pesca/Ed. Física,
28,07,,Adesão do Maranhão à Independência do Brasil,,Auditório Eng. Pesca/Ed. Física,
